Rank,Name,Benchmark,Price,URL,Capacity
1,Samsung 980 Pro NVMe PCIe M.2 1TB $80,386.0,80,https://ssd.userbenchmark.com/SpeedTest/1302577/Samsung-SSD-980-PRO-1TB,1000
2,Samsung 980 Pro NVMe PCIe M.2 2TB $139,432.0,139,https://ssd.userbenchmark.com/SpeedTest/1454302/Samsung-SSD-980-PRO-2TB,2000
3,Samsung 970 Evo Plus NVMe PCIe M.2 1TB $59,310.0,59,https://ssd.userbenchmark.com/SpeedTest/693540/Samsung-SSD-970-EVO-Plus-1TB,1000
4,Samsung 970 Evo Plus NVMe PCIe M.2 500GB $44,276.0,44,https://ssd.userbenchmark.com/SpeedTest/700020/Samsung-SSD-970-EVO-Plus-500GB,500
5,HP EX950 NVMe PCIe M.2 2TB $230,300.0,230,https://ssd.userbenchmark.com/SpeedTest/710813/HP-SSD-EX950-2TB,2000
6,Adata XPG SX8200 Pro NVMe PCIe M.2 512GB $43,242.0,43,https://ssd.userbenchmark.com/SpeedTest/634807/ADATA-SX8200PNP,512
7,Crucial P1 3D NVMe PCIe M.2 1TB $61,212.0,61,https://ssd.userbenchmark.com/SpeedTest/607339/CT1000P1SSD8,1000
8,Samsung 860 Evo 2TB $220,113.0,220,https://ssd.userbenchmark.com/SpeedTest/430706/Samsung-SSD-860-EVO-2TB,2000
9,Adata XPG SX8200 Pro NVMe PCIe M.2 1TB $55,279.0,55,https://ssd.userbenchmark.com/SpeedTest/638791/ADATA-SX8200PNP,1000
10,Samsung 970 Evo Plus NVMe PCIe M.2 250GB $28,234.0,28,https://ssd.userbenchmark.com/SpeedTest/711305/Samsung-SSD-970-EVO-Plus-250GB,250
11,HP EX950 NVMe PCIe M.2 1TB $126,284.0,126,https://ssd.userbenchmark.com/SpeedTest/706053/HP-SSD-EX950-1TB,1000
12,Crucial MX500 1TB $50,106.0,50,https://ssd.userbenchmark.com/SpeedTest/406099/CT1000MX500SSD1,1000
13,Crucial MX500 250GB $30,101.0,30,https://ssd.userbenchmark.com/Crucial-MX500-250GB/Rating/3951,250
14,HP EX950 NVMe PCIe M.2 512GB $76,255.0,76,https://ssd.userbenchmark.com/SpeedTest/705098/HP-SSD-EX950-512GB,512
15,Crucial MX500 2TB $106,108.0,106,https://ssd.userbenchmark.com/SpeedTest/421719/CT2000MX500SSD1,2000
16,Samsung 860 Evo 500GB $75,105.0,75,https://ssd.userbenchmark.com/SpeedTest/428560/Samsung-SSD-860-EVO-500GB,500
